timestamp_ms,device_id,status,location,message
30500,sensor_cluster_alpha_01,warming,building_a/floor_1/rack_1,periodic telemetry sample with repeated metadata
31000,sensor_cluster_alpha_02,cooling,building_a/floor_2/rack_2,periodic telemetry sample with repeated metadata
31500,sensor_cluster_alpha_03,maintenance,building_a/floor_3/rack_3,periodic telemetry sample with repeated metadata
32000,sensor_cluster_alpha_04,calibration,building_a/floor_4/rack_4,periodic telemetry sample with repeated metadata
32500,sensor_cluster_alpha_05,nominal,building_a/floor_0/rack_5,periodic telemetry sample with repeated metadata
33000,sensor_cluster_alpha_06,warming,building_a/floor_1/rack_6,periodic telemetry sample with repeated metadata
33500,sensor_cluster_alpha_07,cooling,building_a/floor_2/rack_7,periodic telemetry sample with repeated metadata
34000,sensor_cluster_alpha_08,maintenance,building_a/floor_3/rack_8,periodic telemetry sample with repeated metadata
34500,sensor_cluster_alpha_09,calibration,building_a/floor_4/rack_9,periodic telemetry sample with repeated metadata
35000,sensor_cluster_alpha_10,nominal,building_a/floor_0/rack_10,periodic telemetry sample with repeated metadata
35500,sensor_cluster_alpha_11,warming,building_a/floor_1/rack_11,periodic telemetry sample with repeated metadata
36000,sensor_cluster_alpha_00,cooling,building_a/floor_2/rack_12,periodic telemetry sample with repeated metadata
36500,sensor_cluster_alpha_01,maintenance,building_a/floor_3/rack_13,periodic telemetry sample with repeated metadata
37000,sensor_cluster_alpha_02,calibration,building_a/floor_4/rack_14,periodic telemetry sample with repeated metadata
37500,sensor_cluster_alpha_03,nominal,building_a/floor_0/rack_15,periodic telemetry sample with repeated metadata
38000,sensor_cluster_alpha_04,warming,building_a/floor_1/rack_16,periodic telemetry sample with repeated metadata
38500,sensor_cluster_alpha_05,cooling,building_a/floor_2/rack_17,periodic telemetry sample with repeated metadata
39000,sensor_cluster_alpha_06,maintenance,building_a/floor_3/rack_18,periodic telemetry sample with repeated metadata
39500,sensor_cluster_alpha_07,calibration,building_a/floor_4/rack_19,periodic telemetry sample with repeated metadata
40000,sensor_cluster_alpha_08,nominal,building_a/floor_0/rack_0,periodic telemetry sample with repeated metadata
40500,sensor_cluster_alpha_09,warming,building_a/floor_1/rack_1,periodic telemetry sample with repeated metadata
41000,sensor_cluster_alpha_10,cooling,building_a/floor_2/rack_2,periodic telemetry sample with repeated metadata
41500,sensor_cluster_alpha_11,maintenance,building_a/floor_3/rack_3,periodic telemetry sample with repeated metadata
42000,sensor_cluster_alpha_00,calibration,building_a/floor_4/rack_4,periodic telemetry sample with repeated metadata
42500,sensor_cluster_alpha_01,nominal,building_a/floor_0/rack_5,periodic telemetry sample with repeated metadata
43000,sensor_cluster_alpha_02,warming,building_a/floor_1/rack_6,periodic telemetry sample with repeated metadata
43500,sensor_cluster_alpha_03,cooling,building_a/floor_2/rack_7,periodic telemetry sample with repeated metadata
44000,sensor_cluster_alpha_04,maintenance,building_a/floor_3/rack_8,periodic telemetry sample with repeated metadata
44500,sensor_cluster_alpha_05,calibration,building_a/floor_4/rack_9,periodic telemetry sample with repeated metadata
45000,sensor_cluster_alpha_06,nominal,building_a/floor_0/rack_10,periodic telemetry sample with repeated metadata
45500,sensor_cluster_alpha_07,warming,building_a/floor_1/rack_11,periodic telemetry sample with repeated metadata
46000,sensor_cluster_alpha_08,cooling,building_a/floor_2/rack_12,periodic telemetry sample with repeated metadata
46500,sensor_cluster_alpha_09,maintenance,building_a/floor_3/rack_13,periodic telemetry sample with repeated metadata
47000,sensor_cluster_alpha_10,calibration,building_a/floor_4/rack_14,periodic telemetry sample with repeated metadata
47500,sensor_cluster_alpha_11,nominal,building_a/floor_0/rack_15,periodic telemetry sample with repeated metadata
48000,sensor_cluster_alpha_00,warming,building_a/floor_1/rack_16,periodic telemetry sample with repeated metadata
48500,sensor_cluster_alpha_01,cooling,building_a/floor_2/rack_17,periodic telemetry sample with repeated metadata
49000,sensor_cluster_alpha_02,maintenance,building_a/floor_3/rack_18,periodic telemetry sample with repeated metadata
49500,sensor_cluster_alpha_03,calibration,building_a/floor_4/rack_19,periodic telemetry sample with repeated metadata
